Id,MarkerType,MarkerValue
266344,Protection,Uncultivated land
317539,Epiphyte,Moss
317444,Condition,Holes or water pockets
266344,Condition,Holes or water pockets
317539,Condition,Holes or water pockets
259718,Condition,Holes or water pockets
317444,Condition,Hollowing trunk
317539,Condition,Decaying wood in the crown <50%
259718,Condition,Decaying wood in the crown
317444,Condition,Hollowing branches
317444,SpecialStatus,Trees of National Special Interest (TNSI)
317444,Surroundings,Parkland
266344,Surroundings,Landscape garden
300139,Surroundings,Field
317539,Surroundings,Bridlepath / footpath
259718,Surroundings,Parkland
266344,Surroundings,Parkland
317539,Surroundings,Woodland
259718,Surroundings,Avenue
