Id,MarkerType,MarkerValue
290555,Epiphyte,Lichen
314773,Epiphyte,Lichen
280894,Epiphyte,Lichen
290555,Epiphyte,Moss
314773,Epiphyte,Fern
280894,Epiphyte,Ivy
314773,Epiphyte,Other
290555,Condition,Hollowing trunk
314773,Condition,Holes or water pockets
280894,Condition,Holes or water pockets
290555,Condition,Decaying wood in the crown
314773,Condition,Hollowing branches
290555,Condition,Decaying wood on the ground
314773,Condition,Decaying wood on the ground
314773,Condition,Decaying wood in the crown <10%
257474,Surroundings,Bridlepath / footpath
303627,Surroundings,Parkland
290555,Surroundings,Wood Pasture
314773,Surroundings,Field
280894,Surroundings,Domestic garden
